Byte,Bit,Rank,KeyGuess,Score
0,0,1,171,0.23038606621768268
0,0,2,192,0.21945220055457043
0,0,3,38,0.2134469686222878
0,0,4,153,0.20378891595124307
0,0,5,141,0.20281670449777595
0,0,6,34,0.20058062999414245
0,0,7,238,0.1968985315448716
0,0,8,88,0.19454548606498923
0,0,9,112,0.18900841228583587
0,0,10,228,0.18888627970231892
0,0,11,120,0.18691325630987538
0,0,12,218,0.18688573064097969
0,0,13,168,0.18476783398621363
0,0,14,166,0.18406189761556518
0,0,15,213,0.18310615710242842
0,0,16,246,0.18240300424898717
0,0,17,104,0.18117634796817256
0,0,18,82,0.18114798006156377
0,0,19,35,0.17964725774733792
0,0,20,126,0.17889066927466601
0,0,21,117,0.17840697984686044
0,0,22,130,0.17817592589228434
0,0,23,105,0.17632364170344633
0,0,24,4,0.17570171702622525
0,0,25,135,0.17460143915053178
0,0,26,79,0.17383889296324578
0,0,27,74,0.17379693743499802
0,0,28,47,0.173620066332298
0,0,29,93,0.17354092146404776
0,0,30,189,0.17317848064322908
0,0,31,39,0.17298689911707277
0,0,32,90,0.1724520936581445
0,0,33,72,0.17244997384893668
0,0,34,37,0.17178884460108124
0,0,35,254,0.17101247500698996
0,0,36,148,0.17095634828409287
0,0,37,86,0.17060503876080413
0,0,38,7,0.17034795239041714
0,0,39,36,0.1684826462416823
0,0,40,125,0.16783851731584337
0,0,41,21,0.16724016097655314
0,0,42,25,0.16691602787717646
0,0,43,107,0.16664208914534953
0,0,44,106,0.16640211496060803
0,0,45,185,0.16634533782079308
0,0,46,235,0.16622921002601906
0,0,47,60,0.16599704010315405
0,0,48,62,0.16577242875180412
0,0,49,54,0.16569630061990168
0,0,50,128,0.1655057170935073
0,0,51,132,0.16529747000309988
0,0,52,202,0.16511420739349475
0,0,53,194,0.1646594055218754
0,0,54,215,0.16450136587256214
0,0,55,42,0.1638092495030237
0,0,56,19,0.1637016051335525
0,0,57,180,0.16340403293609587
0,0,58,232,0.16339979446018651
0,0,59,204,0.16338817047869855
0,0,60,255,0.1629507412075197
0,0,61,103,0.16289054878596695
0,0,62,63,0.162765005017583
0,0,63,111,0.1624625272006279
0,0,64,52,0.162432261450806
0,0,65,143,0.1623374043275821
0,0,66,203,0.161581968542895
0,0,67,8,0.16079405072374503
0,0,68,29,0.16041078213895218
0,0,69,229,0.16011994493909582
0,0,70,208,0.1595822851083052
0,0,71,0,0.15903820690271075
0,0,72,162,0.15837902358384492
0,0,73,250,0.1577989474043024
0,0,74,191,0.15758398406004065
0,0,75,157,0.15742283715129432
0,0,76,110,0.15682957362589164
0,0,77,55,0.15657209795210378
0,0,78,234,0.15625504585336192
0,0,79,149,0.15605515610325746
0,0,80,172,0.15594999802451912
0,0,81,116,0.1557075284737527
0,0,82,80,0.15511505388457686
0,0,83,23,0.15506647391771322
0,0,84,243,0.15491458701774988
0,0,85,216,0.1546436930700083
0,0,86,124,0.1539781907519995
0,0,87,109,0.15378837175709503
0,0,88,164,0.15376692755207527
0,0,89,231,0.15364754396924873
0,0,90,5,0.15351332992934336
0,0,91,155,0.15348159884494256
0,0,92,134,0.15335053217677258
0,0,93,181,0.15330474654076576
0,0,94,206,0.1532877392590033
0,0,95,53,0.1530021252228972
0,0,96,12,0.15275660330610635
0,0,97,102,0.1524987040441069
0,0,98,27,0.1518061101330015
0,0,99,78,0.15171237174539934
0,0,100,161,0.151521321242793
0,0,101,91,0.15149952059160615
0,0,102,248,0.15135130954209158
0,0,103,226,0.15124743243497496
0,0,104,58,0.15117918848160733
0,0,105,158,0.15064530891091504
0,0,106,45,0.15061869876225167
0,0,107,17,0.1506184626876511
0,0,108,188,0.15059312178914824
0,0,109,11,0.15049869005849134
0,0,110,1,0.1501709125823982
0,0,111,114,0.15016590030266216
0,0,112,170,0.149657981394593
0,0,113,43,0.14945578280298416
0,0,114,48,0.14936911917838236
0,0,115,73,0.14929753525412875
0,0,116,30,0.14929110985669386
0,0,117,200,0.149157337557005
0,0,118,32,0.14908016053994394
0,0,119,221,0.14901321790168862
0,0,120,212,0.14796246384985348
0,0,121,237,0.14761989686953678
0,0,122,13,0.14737761119583503
0,0,123,241,0.14692216361615323
0,0,124,51,0.14690901481228544
0,0,125,94,0.14682899115766734
0,0,126,66,0.14662857771257337
0,0,127,146,0.14660425753681577
0,0,128,249,0.1459209593438084
0,0,129,239,0.1455574531133459
0,0,130,223,0.14464994033798734
0,0,131,64,0.14462871460017093
0,0,132,199,0.14448463336041997
