Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,1,1,1,15,2,120,1329227995784915872903807060280344577,120.0,2,128
2,8,2,8,8,2,64,18446744073709551872,72.0,2,128
3,9,3,9,7,2,56,72057594037947619,70.26466250649041,2,128
4,11,4,11,5,2,40,1099515822080,62.0,2,128
5,11,5,11,5,2,40,1099560455901,65.54120904376099,2,128
10,13,10,13,3,2,24,10000016777216,67.18506523353571,2,128
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128
25,14,25,14,2,2,16,37252902984619206161,81.01398665684614,2,128
30,14,30,14,2,2,16,478296900000000065536,84.69646833851927,2,128
50,16,50,16,0,2,0,1525878906250000000000000001,90.30169903639559,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
