Byte,Time(s)
0,0.3839
1,0.3848
2,0.387
3,0.3867
4,0.3925
5,0.3878
6,0.3853
7,0.3874
8,0.3868
9,0.3878
10,0.3911
11,0.3871
12,0.3905
13,0.3903
14,0.3849
15,0.3925
TOTAL,16.5632
AVERAGE,1.0352
