Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,7,1,7,9,2,72,4722366482869645213697,72.0,2,128
2,8,2,8,8,2,64,18446744073709551872,72.0,2,128
3,10,3,10,6,2,48,281474976769705,63.84962500721156,2,128
4,11,4,11,5,2,40,1099515822080,62.0,2,128
5,11,5,11,5,2,40,1099560455901,65.54120904376099,2,128
10,12,10,12,4,2,32,1004294967296,71.86313713864834,2,128
20,13,20,13,3,2,24,81920000016777216,80.18506523353571,2,128
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128
50,16,50,16,0,2,0,1525878906250000000000000001,90.30169903639559,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
