Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,2,1,2,14,2,112,5192296858534827628530496329220097,112.0,2,128
2,6,2,6,10,2,80,1208925819614629174706240,86.0,2,128
3,7,3,7,9,2,72,4722366482869645215883,83.09473750504809,2,128
4,8,4,8,8,2,64,18446744073709617152,80.0,2,128
5,8,5,8,8,2,64,18446744073709942241,82.5754247590989,2,128
10,10,10,10,6,2,48,281484976710656,81.21928094887363,2,128
20,11,20,11,5,2,40,205899511627776,87.54120904376099,2,128
25,12,25,12,4,2,32,59604649070357921,87.7262742772967,2,128
30,13,30,13,3,2,24,15943230000016777216,87.78957774291075,2,128
50,13,50,13,3,2,24,12207031250000016777216,97.37013046707142,2,128
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662087,2,128
