Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,2,1,2,14,2,112,5192296858534827628530496329220097,112.0,2,128
2,5,2,5,11,2,88,309485009821345068724781088,93.0,2,128
3,6,3,6,10,2,80,1208925819614629174706905,89.50977500432694,2,128
4,6,4,6,10,2,80,1208925819614629174710272,92.0,2,128
5,6,5,6,10,2,80,1208925819614629174721801,93.93156856932417,2,128
10,10,10,10,6,2,48,281484976710656,81.21928094887363,2,128
20,13,20,13,3,2,24,81920000016777216,80.18506523353571,2,128
25,13,25,13,3,2,24,1490116119401542841,84.37013046707142,2,128
30,13,30,13,3,2,24,15943230000016777216,87.78957774291075,2,128
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662087,2,128
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662087,2,128
