Byte,Bit,Rank,KeyGuess,Score
0,0,1,55,4.254464747284322
0,0,2,63,4.130641743440467
0,0,3,58,4.085109245601698
0,0,4,38,4.041154376537696
0,0,5,166,4.000218008960129
0,0,6,132,3.956388837355277
0,0,7,141,3.937792136295369
0,0,8,147,3.917788034802179
0,0,9,213,3.8577164498595473
0,0,10,93,3.818413203464988
0,0,11,228,3.8179380205446565
0,0,12,25,3.760805109980389
0,0,13,251,3.71703543503423
0,0,14,250,3.6974394337055587
0,0,15,171,3.655719080603858
0,0,16,46,3.629951918165872
0,0,17,134,3.620099922023735
0,0,18,37,3.6147104730507222
0,0,19,88,3.590257147835875
0,0,20,238,3.589696175551141
0,0,21,0,3.5435193589712664
0,0,22,185,3.533008480125776
0,0,23,135,3.515902034495243
0,0,24,105,3.5135989374147205
0,0,25,235,3.5095027344334047
0,0,26,84,3.501496153283428
0,0,27,188,3.4806092030777447
0,0,28,209,3.46898262869622
0,0,29,126,3.4669393242668285
0,0,30,151,3.4606357215949335
0,0,31,181,3.4596032913692922
0,0,32,114,3.4418449899757158
0,0,33,191,3.4405578885108876
0,0,34,231,3.4364729529387055
0,0,35,21,3.4281306479861655
0,0,36,192,3.4248730108357424
0,0,37,248,3.422193563406524
0,0,38,202,3.4012002888837514
0,0,39,19,3.3891729400421524
0,0,40,161,3.3834737806689192
0,0,41,7,3.37722673199011
0,0,42,17,3.374003436032314
0,0,43,186,3.3713225276043524
0,0,44,107,3.3622296940973047
0,0,45,104,3.3570160482911056
0,0,46,62,3.3436312461778726
0,0,47,32,3.31343976076075
0,0,48,68,3.3036874995725434
0,0,49,232,3.3004071194273705
0,0,50,149,3.29924185495386
0,0,51,72,3.295036316297137
0,0,52,66,3.2942689658340853
0,0,53,117,3.288356729910512
0,0,54,34,3.2834394676023693
0,0,55,108,3.277094342977707
0,0,56,42,3.264948538140953
0,0,57,170,3.2504438813981738
0,0,58,172,3.2449395071265843
0,0,59,243,3.2318527422564727
0,0,60,39,3.224943135989796
0,0,61,110,3.224228508277567
0,0,62,180,3.2159795382555396
0,0,63,130,3.2101042119647465
0,0,64,112,3.2085257837285144
0,0,65,128,3.203566165024474
0,0,66,103,3.2033029544350606
0,0,67,204,3.1978753387781294
0,0,68,8,3.1743601214201793
0,0,69,158,3.166506606656845
0,0,70,120,3.1646715924814184
0,0,71,36,3.163264396785
0,0,72,60,3.161204041369903
0,0,73,177,3.159195239299877
0,0,74,52,3.1587275767521716
0,0,75,199,3.156148796531055
0,0,76,220,3.153504443671505
0,0,77,148,3.1495852639981297
0,0,78,168,3.142000145151974
