Byte,Time(s)
0,0.9781
1,0.9802
2,0.971
3,0.9924
4,0.9768
5,0.9791
6,0.974
7,0.9834
8,0.9744
9,0.975
10,1.013
11,0.9769
12,0.9749
13,0.9673
14,0.9682
15,0.9665
TOTAL,27.3639
AVERAGE,1.7102
