Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,6,1,6,10,2,80,1208925819614629174706177,80.0,2,128
2,7,2,7,9,2,72,4722366482869645213824,79.0,2,128
3,8,3,8,8,2,64,18446744073709558177,76.67970000576925,2,128
4,9,4,9,7,2,56,72057594038190080,74.0,2,128
5,9,5,9,7,2,56,72057594039881061,76.89735285398626,2,128
10,13,10,13,3,2,24,10000016777216,67.18506523353571,2,128
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662087,2,128
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662087,2,128
