Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,7,1,7,9,2,72,4722366482869645213697,72.0,2,128
2,7,2,7,9,2,72,4722366482869645213824,79.0,2,128
3,8,3,8,8,2,64,18446744073709558177,76.67970000576925,2,128
4,9,4,9,7,2,56,72057594038190080,74.0,2,128
5,9,5,9,7,2,56,72057594039881061,76.89735285398626,2,128
10,12,10,12,4,2,32,1004294967296,71.86313713864834,2,128
20,13,20,13,3,2,24,81920000016777216,80.18506523353571,2,128
25,14,25,14,2,2,16,37252902984619206161,81.01398665684614,2,128
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128
50,16,50,16,0,2,0,1525878906250000000000000001,90.30169903639559,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
