Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,5,1,5,11,2,88,309485009821345068724781057,88.0,2,128
2,8,2,8,8,2,64,18446744073709551872,72.0,2,128
3,11,3,11,5,2,40,1099511804923,57.43458750793272,2,128
4,11,4,11,5,2,40,1099515822080,62.0,2,128
5,11,5,11,5,2,40,1099560455901,65.54120904376099,2,128
10,13,10,13,3,2,24,10000016777216,67.18506523353571,2,128
20,14,20,14,2,2,16,1638400000000065536,76.50699332842308,2,128
25,15,25,15,1,2,8,931322574615478515881,77.65784284662087,2,128
30,15,30,15,1,2,8,14348907000000000000256,81.60335893412778,2,128
50,15,50,15,1,2,8,30517578125000000000000256,92.65784284662087,2,128
100,15,100,15,1,2,8,1000000000000000000000000000256,107.65784284662087,2,128
