Key Guess,Correlation
79,0.7108794520475967
39,0.45727800943136826
122,0.40328557497851564
228,0.39565021868521094
103,0.3918253995130817
18,0.3806939888449194
223,0.3746616881904519
32,0.374525602669178
35,0.3727613632347492
4,0.37092455789495016
227,0.37033485324512516
58,0.36822030096259123
3,0.36786836368754117
199,0.3655871226247021
113,0.3647711085319342
2,0.3622362810604541
175,0.36128450076898116
82,0.35997784980252445
125,0.35827029681496086
182,0.3573891967061365
108,0.3550684848735373
230,0.3528377954405976
81,0.3524413652734584
45,0.3498833105200703
54,0.34979720162385025
168,0.3495411348783672
42,0.3458301439522521
148,0.3420106044472128
66,0.34146638509615435
172,0.3410774942002345
36,0.339321307539829
218,0.33836882884739256
212,0.3372302777137173
219,0.33691085020465905
211,0.33526247571850143
74,0.33298684026030817
221,0.3325351988018976
83,0.33079165327033555
159,0.33042711475547704
37,0.3298000226724703
248,0.32934004195876604
136,0.3292374016919693
208,0.3281279049644599
206,0.32757843269545395
104,0.3264481623888327
177,0.32636081216324025
224,0.32634158492780513
121,0.32584790478646913
213,0.3248299405926512
1,0.32382916558655817
12,0.3233326087212672
209,0.32187310060395197
152,0.3207479989060334
67,0.3200998354238403
176,0.31826953979270406
96,0.31812401909068966
229,0.3177297923581661
129,0.31737899904613465
0,0.3173555606031312
33,0.3161257990373521
87,0.3160029949211014
247,0.31576483251916626
91,0.3155873420420272
205,0.3140180938179336
119,0.3132315147856581
242,0.3130646076245961
48,0.31192739906953343
170,0.3110989343671073
188,0.31046199698328864
207,0.3103331350796798
194,0.3091988763000515
215,0.3091351365007243
132,0.3088122368477525
251,0.3087604051118972
134,0.308550843015529
59,0.30772692000379254
128,0.3072452754527258
14,0.30669835152750363
100,0.3062717624871741
127,0.30556499336623394
240,0.3055320188045237
190,0.3053570987435122
137,0.3050070707216397
49,0.3041242936495527
126,0.30376438405407197
135,0.3032429986518015
73,0.3016023622650858
88,0.3013126093989856
243,0.30066904599570415
123,0.3005471792924693
180,0.29860250367254004
179,0.29734322928605994
46,0.29607448992601015
26,0.2955522945446539
31,0.29449494086437655
111,0.29338249559266394
217,0.29276455326727896
195,0.29226020809097264
7,0.29215695142501963
72,0.29193400083045
41,0.2908006779983231
204,0.29074295494942115
80,0.2889882450145283
145,0.288609154897568
118,0.28835102071149343
174,0.28827627382161375
241,0.2880842608397642
115,0.28789501667767303
133,0.28779903983050775
16,0.2876208236125742
110,0.28744688863081064
202,0.2864954160962456
70,0.28639793751757175
185,0.2861049927792436
139,0.2859989020466467
239,0.28598503995051056
191,0.28503368633723786
78,0.2842119423458724
117,0.2833212302601182
151,0.282765143451487
255,0.2821152518495718
143,0.2820165107785956
254,0.2820014460992336
144,0.281926370364508
68,0.2817958780755689
220,0.2814024078153332
141,0.2806305709707138
77,0.2805452309715337
163,0.2796562950194242
214,0.2792159449397797
165,0.27913618418141406
22,0.27879782080425347
181,0.2783816764838882
154,0.2778372582086661
21,0.2776598725085075
245,0.2757583961287843
34,0.2757311249420128
225,0.27527706706996735
13,0.27516588836962796
178,0.2748730429483146
64,0.2748248048504907
85,0.2747053014714707
244,0.2741802183533401
109,0.27375788514706456
27,0.27371101616274107
20,0.2735447546510728
40,0.27307421214009137
11,0.2725473632337734
138,0.2717411630456848
222,0.27107665752761756
93,0.27063373498838184
184,0.27023826133600326
189,0.2701238090676103
